Year,Correlation_r,p_value,N
1980,-0.405287478282766,0.0013164921494261033,60
1981,-0.4708593422872844,0.0001465693427764653,60
1982,-0.5112978247045197,2.982577766579509e-05,60
1983,-0.3414298686006123,0.007589237971873202,60
1984,-0.443992977812679,0.00038015191104755306,60
1985,-0.3489367103715786,0.006286424936979827,60
1986,-0.212174681097634,0.10362780349765213,60
1987,-0.4866188744420614,8.06927007814223e-05,60
1988,-0.34742975973864965,0.006530983386297215,60
1989,-0.33140903507415886,0.014365896556445839,54
1990,-0.32790173006094636,0.015497824005948395,54
1991,-0.5178971335529136,6.050378303525544e-05,54
1992,-0.5309183583937922,3.626364189173004e-05,54
1993,-0.38900017709338486,0.0036477222347384925,54
1994,-0.44012463611006647,0.0008674812348188737,54
1995,-0.3777577366135671,0.0034617173019743505,58
1996,-0.5314769385532466,1.7645948759093256e-05,58
1997,-0.40587845099313813,0.001733529792919815,57
1998,-0.38903908206757215,0.0025427134741537153,58
1999,-0.45495327449685025,0.0003332206505580866,58
2000,-0.20135439133931235,0.12960574159955443,58
2001,-0.41861171858442825,0.0011925619134765548,57
2002,-0.2782694500204559,0.036087812274954265,57
2003,-0.3556119780402718,0.006153704814633081,58
2004,-0.4783720346779152,0.00012702460446279714,59
2005,-0.2919182041071744,0.02362561060700096,60
2006,-0.2758689953978519,0.03288279190421542,60
2007,-0.36230893215308224,0.00444475943314852,60
2008,-0.4449198858892664,0.0003683306398207804,60
2009,-0.41428808026270786,0.0009991236681655897,60
2010,-0.46188084135476026,0.0002033227780898034,60
