Year,Correlation_r,p_value,N
1980,-0.4520063417139072,0.00028843756631881265,60
1981,-0.5935430079927808,5.786707631329443e-07,60
1982,-0.598076600379343,4.5072533044814386e-07,60
1983,-0.5181979848932033,2.226667447176015e-05,60
1984,-0.5486488425681445,5.664330874902216e-06,60
1985,-0.4553887675406747,0.00025618220586033413,60
1986,-0.2653125264000746,0.04048698791879961,60
1987,-0.5759746523747397,1.4712518927052098e-06,60
1988,-0.45616101771143336,0.00024929586358552077,60
1989,-0.4471624721699812,0.0006991282707384816,54
1990,-0.36424696372766857,0.006774412826265074,54
1991,-0.5869856657308079,3.083431814953723e-06,54
1992,-0.6088574081674725,1.034559241200033e-06,54
1993,-0.4986534530227539,0.00012422336336394274,54
1994,-0.5659565999292303,8.19424415899879e-06,54
1995,-0.5556122300534639,5.974145204715308e-06,58
1996,-0.6188882743011408,2.2412358061718853e-07,58
1997,-0.5237876375356215,2.899272670774654e-05,57
1998,-0.4813455236075564,0.00013071632208703704,58
1999,-0.5300533184484681,1.876181366785667e-05,58
2000,-0.4611469872860027,0.00026933458630468143,58
2001,-0.515499224470008,4.06829671138017e-05,57
2002,-0.3405980651310729,0.009527868592701756,57
2003,-0.42511436041581435,0.0008797098339915259,58
2004,-0.5724733519129672,2.1647762325797083e-06,59
2005,-0.3368591590189095,0.008493012835038762,60
2006,-0.3246068110405328,0.011392306209568135,60
2007,-0.4907974936376772,6.854256313352643e-05,60
2008,-0.5601854540235833,3.253270260636463e-06,60
2009,-0.47129424138301895,0.00014423073530768827,60
2010,-0.5989904106017427,4.283862127530704e-07,60
