fips,year,month_name,unemployment_rate,employment_rate
01,2020,January,3.6,96.4
01,2020,February,3.4,96.6
01,2020,March,3.7,96.3
01,2020,April,13.1,86.9
01,2020,May,10.2,89.8
01,2020,June,8.9,91.1
01,2020,July,8.0,92.0
01,2020,August,6.4,93.6
01,2020,September,6.0,94.0
01,2020,October,4.9,95.1
01,2020,November,4.6,95.4
01,2020,December,4.3,95.7
01,2021,January,4.5,95.5
01,2021,February,4.1,95.9
01,2021,March,3.7,96.3
01,2021,April,3.3,96.7
01,2021,May,3.1,96.9
01,2021,June,4.0,96.0
01,2021,July,3.7,96.3
01,2021,August,3.5,96.5
01,2021,September,2.9,97.1
01,2021,October,2.7,97.3
01,2021,November,2.4,97.6
01,2021,December,2.3,97.7
01,2022,January,3.1,96.9
01,2022,February,2.9,97.1
01,2022,March,2.4,97.6
01,2022,April,2.0,98.0
01,2022,May,2.2,97.8
01,2022,June,3.0,97.0
01,2022,July,2.9,97.1
01,2022,August,2.9,97.1
01,2022,September,2.4,97.6
01,2022,October,2.4,97.6
01,2022,November,2.2,97.8
01,2022,December,2.0,98.0
02,2020,January,5.9,94.1
02,2020,February,5.6,94.4
02,2020,March,6.9,93.1
02,2020,April,11.8,88.2
02,2020,May,12.0,88.0
02,2020,June,11.2,88.8
02,2020,July,10.4,89.6
02,2020,August,7.2,92.8
02,2020,September,7.3,92.7
02,2020,October,6.7,93.3
02,2020,November,7.2,92.8
02,2020,December,7.2,92.8
02,2021,January,7.5,92.5
02,2021,February,7.8,92.2
02,2021,March,7.7,92.3
02,2021,April,7.5,92.5
02,2021,May,6.8,93.2
02,2021,June,7.0,93.0
02,2021,July,5.9,94.1
02,2021,August,5.1,94.9
02,2021,September,5.2,94.8
02,2021,October,5.2,94.8
02,2021,November,5.4,94.6
02,2021,December,5.3,94.7
02,2022,January,6.1,93.9
02,2022,February,5.7,94.3
02,2022,March,5.0,95.0
02,2022,April,4.5,95.5
02,2022,May,4.1,95.9
02,2022,June,4.3,95.7
02,2022,July,3.6,96.4
02,2022,August,3.0,97.0
02,2022,September,3.2,96.8
02,2022,October,3.6,96.4
02,2022,November,4.1,95.9
02,2022,December,4.0,96.0
04,2020,January,4.7,95.3
04,2020,February,4.5,95.5
04,2020,March,5.3,94.7
04,2020,April,13.2,86.8
04,2020,May,11.2,88.8
04,2020,June,10.2,89.8
04,2020,July,9.9,90.1
04,2020,August,8.1,91.9
04,2020,September,7.5,92.5
04,2020,October,6.6,93.4
04,2020,November,6.3,93.7
04,2020,December,6.3,93.7
04,2021,January,6.4,93.6
04,2021,February,6.2,93.8
04,2021,March,5.7,94.3
04,2021,April,5.6,94.4
04,2021,May,5.5,94.5
04,2021,June,6.0,94.0
04,2021,July,5.4,94.6
04,2021,August,4.9,95.1
04,2021,September,4.3,95.7
04,2021,October,3.8,96.2
04,2021,November,3.4,96.6
04,2021,December,3.1,96.9
04,2022,January,3.8,96.2
04,2022,February,3.6,96.4
04,2022,March,3.3,96.7
04,2022,April,3.4,96.6
04,2022,May,3.6,96.4
04,2022,June,4.2,95.8
04,2022,July,4.2,95.8
04,2022,August,4.3,95.7
04,2022,September,3.9,96.1
04,2022,October,3.8,96.2
04,2022,November,3.5,96.5
04,2022,December,3.3,96.7
05,2020,January,4.0,96.0
05,2020,February,3.7,96.3
05,2020,March,5.3,94.7
05,2020,April,9.6,90.4
05,2020,May,8.8,91.2
05,2020,June,8.2,91.8
05,2020,July,8.1,91.9
05,2020,August,6.3,93.7
05,2020,September,5.7,94.3
05,2020,October,4.6,95.4
05,2020,November,4.5,95.5
05,2020,December,4.8,95.2
05,2021,January,5.4,94.6
05,2021,February,5.3,94.7
05,2021,March,4.7,95.3
05,2021,April,4.3,95.7
05,2021,May,4.2,95.8
05,2021,June,4.8,95.2
05,2021,July,4.5,95.5
05,2021,August,3.8,96.2
05,2021,September,3.2,96.8
05,2021,October,2.7,97.3
05,2021,November,2.6,97.4
05,2021,December,2.8,97.2
05,2022,January,3.8,96.2
05,2022,February,3.6,96.4
05,2022,March,3.1,96.9
05,2022,April,2.9,97.1
05,2022,May,3.0,97.0
05,2022,June,3.6,96.4
05,2022,July,3.7,96.3
05,2022,August,3.4,96.6
05,2022,September,3.0,97.0
